Rank,Community Area,Count
37,ALBANY PARK (14),2452
70,ARCHER HEIGHTS (57),839
65,ARMOUR SQUARE (34),1009
38,ASHBURN (70),2408
8,AUBURN GRESHAM (71),7410
1,AUSTIN (25),15130
60,AVALON PARK (45),1151
40,AVONDALE (21),2342
22,BELMONT CRAGIN (19),4419
68,BEVERLY (72),911
51,BRIDGEPORT (60),1510
41,BRIGHTON PARK (58),2234
76,BURNSIDE (47),384
55,CALUMET HEIGHTS (48),1382
12,CHATHAM (44),6468
16,CHICAGO LAWN (66),5740
66,CLEARING (64),963
36,DOUGLAS (35),2695
52,DUNNING (17),1509
19,EAST GARFIELD PARK (27),4947
62,EAST SIDE (52),1109
35,EDGEWATER (77),2793
77,EDISON PARK (9),250
14,ENGLEWOOD (68),6216
75,FOREST GLEN (12),488
69,FULLER PARK (37),864
43,GAGE PARK (63),2105
44,GARFIELD RIDGE (56),2080
30,GRAND BOULEVARD (38),3271
13,GREATER GRAND CROSSING (69),6351
72,HEGEWISCH (55),628
54,HERMOSA (20),1399
7,HUMBOLDT PARK (23),8029
45,HYDE PARK (41),1982
34,IRVING PARK (16),2812
61,JEFFERSON PARK (11),1111
53,KENWOOD (39),1462
15,LAKE VIEW (6),5872
18,LINCOLN PARK (7),4984
46,LINCOLN SQUARE (4),1969
20,LOGAN SQUARE (22),4869
3,LOOP (32),10791
39,LOWER WEST SIDE (31),2390
67,MCKINLEY PARK (59),924
73,MONTCLARE (18),619
42,MORGAN PARK (75),2139
74,MOUNT GREENWOOD (74),570
2,NEAR NORTH SIDE (8),13022
47,NEAR SOUTH SIDE (33),1888
4,NEAR WEST SIDE (28),9408
24,NEW CITY (61),4255
57,NORTH CENTER (5),1314
5,NORTH LAWNDALE (29),9327
64,NORTH PARK (13),1018
59,NORWOOD PARK (10),1199
71,OAKLAND (36),650
50,OHARE (76),1695
31,PORTAGE PARK (15),3212
58,PULLMAN (50),1220
56,RIVERDALE (54),1358
26,ROGERS PARK (1),3807
11,ROSELAND (49),6937
23,SOUTH CHICAGO (46),4347
49,SOUTH DEERING (51),1753
21,SOUTH LAWNDALE (30),4553
6,SOUTH SHORE (43),8625
27,UPTOWN (3),3656
32,WASHINGTON HEIGHTS (73),3165
33,WASHINGTON PARK (40),2828
63,WEST ELSDON (62),1022
10,WEST ENGLEWOOD (67),7080
17,WEST GARFIELD PARK (26),5660
48,WEST LAWN (65),1777
25,WEST PULLMAN (53),4052
28,WEST RIDGE (2),3541
9,WEST TOWN (24),7239
29,WOODLAWN (42),3505
